name,location,address,hours,services,direction_link
"Gateway@KLIA2 (Departure Hall, Level 3)",Selangor,"Lot L3-44A, Level 3, gateway@KLIA2, Lbh KLIA, 43900 KLIA, Selangor",Not specified,"Coffee, Food, Beverages",
"Gateway@KLIA2 (Arrival Hall, Level 2)",Selangor,"Lot No. L2-90B, Level 2, gateway@KLIA2, Lbh KLIA, 43900 Klia, Selangor",Not specified,"Coffee, Food, Beverages",
Taipan USJ,Selangor,"No. 9 (Ground Floor), Jalan USJ 10/1E, Taipan Business Centre, 47620, Subang Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Sunway Velocity Mall,Wilayah Persekutuan Kuala Lumpur,"Lot 1-22, First Floor, Lingkaran SV2, Sunway Velocity Mall, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Sapura Lot 91 KLCC,50088 Kuala Lumpur.,"Lot C-17, Level Concourse, Permata Sapura, Kuala Lumpur City Centre, 50088 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
"Taman Myra Meranti, Puchong",Selangor Darul Ehsan,"No. 8A (Ground Floor), Jalan MM4, Taman Myra Meranti, 47120 Puchong, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
OUG Parklane,58200 Kuala Lumpur,"A1-0-12 (Ground Floor), OUG Parklane, Jalan 1/152, Taman OUG Parklane, 58200 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Centro Mall,Selangor,"Lot GK105, Ground Floor, Centro Mall, 8, Jalan Batu Tiga Lama, Kawasan 16, 41300 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
Lotus’s Klang,Selangor.,"Lot GK14. KS 6, 3, Jalan Batu Nilam 6, Bandar Bukit Tinggi 1, 41200 Klang, Selangor.",Not specified,"Coffee, Food, Beverages",
Pavilion Damansara Heights,Pavilion Damansara Heights 50490 Kuala Lumpur.,"Lot 2.13.01. Level 2. No. 3, Jalan Damanlela, Pavilion Damansara Heights 50490 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Shaftsbury Square,Selangor,"Level P1-23, Lot 2350, Shaftsbury Square, Cyber 6, 63000 Cyberjaya, Selangor",Not specified,"Coffee, Food, Beverages",
SS2,Selangor,"No.5, Jalan SS2/67, SS2, 47300 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
